Name,Address,Garden website,Email,Secondary contact,lat,lng
229 Hoddle St Collingwood,229 Hoddle StCollingwood VIC 3067,http://www.cultivatingcommunity.org.au/,info@cultivatingcommunity.org.au,,-37.802,144.992
Aboriginal and Torres Strait Islander Centre for Males,,http://www.vacsal.org.au/malescenter.html,jason.kanoa@vacsal.org.au,,-37.741655,145.009109
Alamein Community Garden,,http://directory.communitygarden.org.au/N/a,margaretsmith@live.com,"Izzy at Reception, admin@alameinnlc.com.au, 0398859162",-37.868477,145.086288
Alfred Street Nth Melb,Alfred StNorth Melbourne VIC 3051,http://www.cultivatingcommunity.org.au/,info@cultivatingcommunity.org.au,,-37.79096,144.94215
Amaroo Neighbourhood Centre Community Garden,,,vic@communitygarden.org.au,,-37.8791,145.099
Ashburton Community Garden,80 Markham AvenueAshburton VIC 3147,,ashburtongarden@gmail.com,,-37.871,145.083
Ashwood College Permaculture Food Garden,,https://www.facebook.com/pages/Ashwood-College-Permaculture-Food-Garden,mariette@tuohey.net,"Martha Hills, mrh03049@yahoo.com, 03 9808 9600",-37.86559226,145.1038929
Atherton Gardens,Atherton Gardens EstateNapier StreetFitzroy VIC 3065,http://www.cultivatingcommunity.org.au/,info@cultivatingcommunity.org.au,,-37.80422,144.97974
Avondale Heights Community Garden,Rear of 2-22 River DriveAvondale Heights VIC 3034,https://www.facebook.com/groups/131772866835850/,,,-37.74413,144.81479
Balwyn Community Centre,,http://www.balwyncc.org.au,director@balwyncc.org.au,"Margaret Kimber, programs@balwyncc.org.au, 9836 7942",-37.81377,145.089157
Bayswater North Community Garden,,,community.renewal@maroonah.vic.gov.au,,-37.8348,145.274
Birdsland Community Garden,,,mail@yarraranges.vic.gov.au,,-37.9237,145.337
Botanic Gardens,,,foskbg@hotmail.com,,-37.8703,144.984
Buna Reserve Community Garden,,,edwin.wise@bchs.org.au,,-37.74267,145.045731
Buncle St Community Garden,Buncle StreetNorth Melbourne VIC 3051,http://www.cultivatingcommunity.org.au/,info@cultivatingcommunity.org.au,,-37.79526,144.94005
Canterbury Community Garden,,,office@canterburynh.org.au,,-37.825,145.079
Neill St Community Garden,Neill StreetCarlton VIC 3053,http://www.cultivatingcommunity.org.au/,info@cultivatingcommunity.org.au,,-37.80009,144.96709
CERES Community Garden,,,ceres@ceres.org.au,,-37.7666,144.985
Chirnside Park Community Kitchen Garden,,,natalie.dezylva@gpt.com.au,,-37.7571,145.313
Craigieburn Community Garden,,,healthyhume@hume.vic.gov.au,,-37.59291,144.90466
Croydon Community Garden,Trawalla RoadCroydon VIC 3136,,,,-37.8024,145.302
Dandenong Neighbourhood House Community Garden,,,dynhouse@satlink.com.au ,,-37.9836,145.219
Dig It Community Garden,,,vic@communitygarden.org.au,,-38.2335,145.032
Dixon House Community Garden,,,dixonhouse@anglicare.vic.gov.au,,-37.9192,145.122
Docklands Community Garden,Level 3 673 Bourke StreetMelbourne VIC 3000,www.docklandsgarden.org,activators@docklandsgarden.org,,-37.818125,144.938026
Doncaster Community Garden,,,vic@communitygarden.org.au,,-37.7931,145.139
East Keilor Sustainability St Community Garden ,,,eastkeilorcommunitygarden@yahoo.com.au,,-37.7309,144.863
ECOSS Community Garden,,,yarravalleyecoss@gmail.com,,-37.7772,145.648
Edendale Community Environment Farm,30 Gastons RoadEltham VIC 3095,Edendale Community Environment Farm,edendale@nillumbik.vic.gov.au,,-37.70121848,145.1540063
Emerald St Community Garden,Emerald StCollingwood VIC 3066,http://www.cultivatingcommunity.org.au/,info@cultivatingcommunity.org.au,,-37.80046,144.98807
Essendon Community Garden,,http://www.essendoncommunitygardens.jimdo.com/,fsnlcgertrude@gmail.com,,-37.74923,144.91226
Eumemmering Federation Food Garden ,,http://www.foodgardens.org.au/,info@foodgardens.org.au,,-37.984659,145.240494
Fairfield Community Garden,1 Hamilton StAlphington VIC 3078,http://www.fairfieldcommunitygardens.blogspot.com.au/,berryman5@bigpond.com,,-37.779,145.023
Farnham St Community Garden ,28 Farnham StFlemington VIC 3031,,pip@fsnlc.net,,-37.782464,144.928798
Federation Food Garden ,,http://www.foodgardens.org.au/,info@foodgardens.org.au,,-37.99772,145.24455
Flemington Community Garden,Racecourse RdFlemington VIC 3031,http://www.cultivatingcommunity.org.au/,info@cultivatingcommunity.org.au,,-37.78573,144.91875
Goonwarra Commumunity Garden,,,healthyhume@hume.vic.gov.au,,-37.57262,144.75842
Graylings Grove Community Garden ,Graylings Grove.St Kilda VIC 3183,http://www.communitygardeningportphillip.net/community-gardens/graylings-grove/,vic@communitygarden.org.au,,-37.86258,144.99294
Gronn Place Community Garden,Gronn PlaceBrunswick West VIC 3057,www.cultivatingcommunity.org.au,info@cultivatingcommunity.org.au,,-37.757,144.939
Groundswell Community Garden,,http://www.groundswell.org.au,simonc57@hotmail.com,"administrator at website, www.groundswell.org.au",-38.15451,145.121765
Hampton Park Community Garden,,http://www.unitingplace.org.au/communitygarden,vic@communitygarden.org.au,,-38.0418,145.265
Hawthorn (Camberwell Junction) Community Gardens Inc. (Riversdale Rd),,,lywanne@bigpond.net.au,,-37.831976,145.04982
Hawthorn Community Gardens Inc. (Linda Cres),,,lywanne@bigpond.net.au,,-37.82864,145.030624
Heidelberg West Community Garden,,,vic@communitygarden.org.au,,-37.7398,145.041
Highett St Community Garden,Belgium AvenueRichmond VIC 3121,http://www.cultivatingcommunity.org.au/,info@cultivatingcommunity.org.au,,-37.81598,144.99997
Hills Community Garden,Pakenham RoadCockatoo VIC 3781,,"coralhunter@bigpond.com, coralhunter@bigpond.com","Shirley Phillips, shirleyphillips1309@gmail.com, 0359689642",-37.93732284,145.4904411
Holmes St Community Garden,Holmes StNorthcote VIC 3070,http://www.cultivatingcommunity.org.au/,info@cultivatingcommunity.org.au,,-37.78258,145.00623
Hume Indigenous Community Garden,,,healthyhume@hume.vic.gov.au,,-37.67605,144.89307
Interact-Fairfield Community Garden,,http://www.interactaustralia.com.au,keveringham@interactaustralia.com.au,,-37.78443,145.023201
Bellfield Community Garden,corner of Oriel Rd and Banksia StBellfield VIC 3081,,bellfieldcommunitygarden@gmail.com,,-37.76682,145.04005
J.L Murphy's Reserve Community Garden,,,vic@communitygarden.org.au,,-37.834881,144.925476
Jolimont Road Community Gdn,,,vic@communitygarden.org.au,,-37.84402,145.18025
Joy of the Earth Community Garden,"15 Joy St, Frankston, Victoria 3199Frankston VIC 3199",https://m.facebook.com/joyoftheearthfrankston/,JoyoftheEarth@gmail.com,Kyran Hanley    kyran2655@gmail.com     03 87722684,-38.144428,145.132111
Kensington Community Garden,,,marc.camilleri@ymca.org.au,,-37.7919,144.92435
Kevin Heinz Gdn Centre,,,khgc@unite.com.au,,-37.79043,145.1431
Knox Community Garden,,,knoxcommunitygardens@gmail.com,,-37.86617,145.25719
Koo Wee Rup Community Garden,235 Rossiter RoadKoo Wee Rup VIC 3981,,vic@communitygarden.org.au,,-38.15334,145.4855
Lalor Community Garden,,,plentyvalleycommunitygarden@gmail.com ,,-37.667139,145.013718
Laverton Community Garden,,,vic@communitygarden.org.au,,-37.8559,144.773
Lennox St Community Garden,Lennox StreetRichmond VIC 3067,www.cultivatingcommunity.org.au,info@cultivatingcommunity.org.au,,-37.81624,144.99493
Linda Cres Community Garden,,,lywanne@bigpond.net.au ,,-37.82,145.033
Luscious Lane Community Garden,,,homeplanet@ozemail.com.au,,-37.78431,144.99214
Luscombe St. Community Garden,,http://luscombestreetgarden.blogspot.com.au/,luscombegarden@gmail.com,,-37.766695,144.962852
Lygon St Community Garden,530 Lygon StCarlton VIC 3053,http://www.cultivatingcommunity.org.au/,info@cultivatingcommunity.org.au,,-37.79394957,144.9690329
Maidstone Community Centre,,,wendy.vine@maribyrnong.vic.gov.au  ,,-37.788963,144.869003
Maribyrnong Community Garden,,http://www.maribyrnongediblegarden.weebly.com,megcommittee@gmail.com,"Colleen Berwick, colleenberwick@hotmail.com,",-37.768944,144.894165
Mary and Basil Organic Community Garden,,http://maryandbasil.groupsite.com/main/summary,mary.basil.enquiries@gmail.com,"-, -",-37.848873,144.954544
Mater St Community Garden,,,chris.saray@aus.salvationarmy.org,,-37.79567,144.98817
Melbourne University Community Garden,Monash RdParkville VIC 3010,http://mucgarden.weebly.com,mucgarden@gmail.com,,-37.796156,144.961349
Melon Street,,,vconn@mcm.org.au  ,,-37.781792,144.859497
Mill Park Community Garden,,http://www.millparkcommunityhouse.com/,vic@communitygarden.org.au,,-37.664169,145.065071
Monash University Permaculture Food Garden and Community Farm,,http://www.eatmonash.org.au,vic@communitygarden.org.au,,-37.9117,145.132
Mornington Community Garden,Pine Reserve Mitchell StMornington VIC 3931,,dig-itcomgarden@hotmail.com,,-38.22803,145.06236
Mulberry Gardens,,,maclynx@yahoo.com,,-37.6997,144.922
Mulgrave Neighbourhood House Community Garden,,http://www.mnh.org.au,vic@communitygarden.org.au,,-37.9261,145.162
Murrnong Community Garden ,,,joolsj@mail.com  ,,-37.789246,144.891739
Myuna Community Farm,,,myunafarm@casey.vic.gov.au,,-37.9877,145.232
Narre Warrebn North Comunity Garden,,http://narrenorthgarden.blogspot.com.au/,jbmcleay@gmail.com,"Megan Vella, megz64@tpg.com.au",-37.979477,145.31813
Noble Park Community Garden,,,nobleparkgarden@gmail.com,,-37.962,145.174
Northcote Community Garden,,,northcotecommunitygardens@yahoo.com.au,,-37.771,144.994
Northcote Public Library Community Garden,,,northcotelibraryfoodgarden@gmail.com.  ,,-37.7697,145.001
